code,name
688127,蓝特光学
688128,中国电研
688129,东来技术
688130,晶华微
688131,皓元医药
688132,邦彦技术
688133,泰坦科技
688135,利扬芯片
688136,科兴制药
688137,近岸蛋白
688138,清溢光电
688139,海尔生物
688141,杰华特
688143,长盈通
688146,中船特气
688147,微导纳米
688148,芳源股份
688150,莱特光电
688151,华强科技
688152,麒麟信安
688153,唯捷创芯
688155,先惠技术
688156,路德环境
688157,松井股份
688158,优刻得
688159,有方科技
688160,步科股份
688161,威高骨科
688162,巨一科技
688163,赛伦生物
688165,埃夫特
688166,博瑞医药
688167,炬光科技
688168,安博通
688169,石头科技
688170,德龙激光
688171,纬德信息
688172,燕东微
688173,希荻微
688175,高凌信息
688176,亚虹医药
688177,百奥泰
688178,万德斯
688179,阿拉丁
688180,君实生物
688181,八亿时空
688182,灿勤科技
688183,生益电子
688184,帕瓦股份
688185,康希诺
688186,广大特材
688187,时代电气
688188,柏楚电子
688189,南新制药
688190,云路股份
688191,智洋创新
688192,迪哲医药
688193,仁度生物
688195,腾景科技
688196,卓越新能
688197,首药控股
688198,佰仁医疗
688199,久日新材
688200,华峰测控
688201,信安世纪
688202,美迪西
688203,海正生材
688205,德科立
688206,概伦电子
688207,格灵深瞳
688208,道通科技
688209,英集芯
688210,统联精密
688211,中科微至
688212,澳华内镜
688213,思特威
688215,瑞晟智能
688216,气派科技
688217,睿昂基因
688218,江苏北人
688219,会通股份
688220,翱捷科技
688221,前沿生物
688222,成都先导
688223,晶科能源
688225,亚信安全
688226,威腾电气
688227,品高股份
688228,开普云
688229,博睿数据
688230,芯导科技
688231,隆达股份
688232,新点软件
688233,神工股份
688234,天岳先进
688235,百济神州
688236,春立医疗
688237,超卓航科
688238,和元生物
688239,航宇科技
688244,永信至诚
688246,嘉和美康
688247,宣泰医药
688248,南网科技
688249,晶合集成
688251,井松智能
688252,天德钰
688253,英诺特
688255,凯尔达
688256,寒武纪
688257,新锐股份
688258,卓易信息
688259,创耀科技
688260,昀冢科技
688261,东微半导
688262,国芯科技
688265,南模生物
688266,泽璟制药
688267,中触媒
688268,华特气体
688269,凯立新材
688270,臻镭科技
688271,联影医疗
688272,富吉瑞
688273,麦澜德
688275,万润新能
688276,百克生物
688277,天智航
688278,特宝生物
688279,峰岹科技
688280,精进电动
688281,华秦科技
688282,*ST导航
688283,坤恒顺维
688285,高铁电气
688286,敏芯股份
688287,ST观典
688288,鸿泉物联
688289,圣湘生物
688290,景业智能
688291,金橙子
688292,浩瀚深度
688293,奥浦迈
688295,中复神鹰
688296,和达科技
688297,中无人机
688298,东方生物
688299,长阳科技
688300,联瑞新材
688301,奕瑞科技
688302,海创药业
688303,大全能源
688305,科德数控
688306,均普智能
688307,中润光学
688308,欧科亿
688309,恒誉环保
688310,迈得医疗
688311,盟升电子
688312,燕麦科技
688313,仕佳光子
688314,康拓医疗
688315,诺禾致源
688316,青云科技
688317,之江生物
688318,财富趋势
688319,欧林生物
688320,禾川科技
688321,微芯生物
688322,奥比中光
688323,瑞华泰
688325,赛微微电
688326,经纬恒润
688327,云从科技
688328,深科达
688329,艾隆科技
688330,宏力达
688331,荣昌生物
688332,中科蓝讯
688333,铂力特
688334,西高院
688335,复洁环保
688336,三生国健
688337,普源精电
688338,赛科希德
688339,亿华通
688343,云天励飞
688345,博力威
688347,华虹公司
688348,昱能科技
688349,三一重能
688350,富淼科技
688351,微电生理
688352,颀中科技
688353,华盛锂电
688355,明志科技
688356,键凯科技
688357,建龙微纳
688358,祥生医疗
688359,三孚新科
688360,德马科技
688361,中科飞测
688362,甬矽电子
688363,华熙生物
688365,光云科技
688366,昊海生科
688367,工大高科
688368,晶丰明源
688369,致远互联
688370,丛麟科技
688371,菲沃泰
688372,伟测科技
688373,盟科药业
688375,国博电子
688376,美埃科技
688377,迪威尔
688378,奥来德
688379,华光新材
688380,中微半导
688381,帝奥微
688382,益方生物
688383,新益昌
688385,复旦微电
688386,泛亚微透
688387,信科移动
688388,嘉元科技
688389,普门科技
688390,固德威
688391,钜泉科技
688392,骄成超声
688393,安必平
688395,正弦电气
688396,华润微
688398,赛特新材
688399,硕世生物
688400,凌云光
688401,路维光电
688403,汇成股份
688408,中信博
688409,富创精密
688410,山外山
688411,海博思创
688416,恒烁股份
688418,震有科技
688419,耐科装备
688420,美腾科技
688425,铁建重工
688426,康为世纪
688428,诺诚健华
688429,时创能源
688432,有研硅
688433,华曙高科
688435,英方软件
688439,振华风光
688443,智翔金泰
688448,磁谷科技
688449,联芸科技
688450,光格科技
688455,科捷智能
688456,有研粉材
688458,美芯晟
688459,哈铁科技
688466,金科环境
688468,科美诊断
688469,芯联集成
688472,阿特斯
688475,萤石网络
688478,晶升股份
688479,友车科技
688480,赛恩斯
688484,南芯科技
688485,九州一轨
688486,龙迅股份
688488,艾迪药业
688489,三未信安
688496,清越科技
688498,源杰科技
688499,利元亨
688500,慧辰股份
688501,青达环保
688502,茂莱光学
688503,聚和材料
688505,复旦张江
688506,百利天恒
688507,索辰科技
688508,芯朋微
688509,正元地信
688510,航亚科技
688511,天微电子
688512,慧智微
688513,苑东生物
688515,裕太微
688516,奥特维
688517,金冠电气
688518,联赢激光
688519,南亚新材
688520,神州细胞
688521,芯原股份
688522,纳睿雷达
688523,航天环宇
688525,佰维存储
688526,科前生物
688528,秦川物联
688529,豪森智能
688530,欧莱新材
688531,日联科技
688533,上声电子
688535,华海诚科
688536,思瑞浦
688538,和辉光电
688539,高华科技
688543,国科军工
688545,兴福电子
688548,广钢气体
688549,中巨芯
688550,瑞联新材
688551,科威尔
688552,航天南湖
688553,汇宇制药
688556,高测股份
688557,兰剑智能
688558,国盛智科
688559,海目星
688560,明冠新材
688561,奇安信
688562,航天软件
688563,航材股份
688565,力源科技
688566,吉贝尔
688567,孚能科技
688568,中科星图
688569,铁科轨道
688570,天玛智控
688571,杭华股份
688573,信宇人
688575,亚辉龙
688576,西山科技
688577,浙海德曼
688578,艾力斯
688579,山大地纬
688580,伟思医疗
688581,安杰思
688582,芯动联科
688583,思看科技
688584,上海合晶
688585,上纬新材
688586,江航装备
688588,凌志软件
688589,力合微
688590,新致软件
688591,泰凌微
688592,司南导航
688593,新相微
688595,芯海科技
688596,正帆科技
688597,煜邦电力
688598,金博股份
688599,天合光能
688600,皖仪科技
688601,力芯微
688602,康鹏科技
688603,天承科技
688605,先锋精科
688606,奥泰生物
688607,康众医疗
688608,恒玄科技
688609,九联科技
688610,埃科光电
688611,杭州柯林
688612,威迈斯
688613,奥精医疗
688615,合合信息
688616,西力科技
688617,惠泰医疗
688618,三旺通信
688619,罗普特
688620,安凯微
688621,阳光诺和
688622,禾信仪器
688623,双元科技
688625,呈和科技
688626,翔宇医疗
688627,精智达
688628,优利德
688629,华丰科技
688630,芯碁微装
688631,莱斯信息
688633,星球石墨
688636,智明达
688638,誉辰智能
688639,华恒生物
688646,逸飞激光
688648,中邮科技
688651,盛邦安全
688652,京仪装备
688653,康希通信
688655,迅捷兴
688656,浩欧博
688657,浩辰软件
688658,悦康药业
688659,元琛科技
688660,电气风电
688661,和林微纳
688662,富信科技
688663,新风光
688665,四方光电
688667,菱电电控
688668,鼎通科技
688669,聚石化学
688670,金迪克
688671,碧兴物联
688676,金盘科技
688677,海泰新光
688678,福立旺
688679,通源环境
688680,海优新材
688681,科汇股份
688682,霍莱沃
688683,莱尔科技
688685,迈信林
688686,奥普特
688687,凯因科技
688689,银河微电
688690,纳微科技
688691,灿芯股份
688692,达梦数据
688693,锴威特
688695,中创股份
688696,极米科技
688697,纽威数控
688698,伟创电气
688699,明微电子
688700,东威科技
688701,卓锦股份
688702,盛科通信
688707,振华新材
688708,佳驰科技
688709,成都华微
688710,益诺思
688711,宏微科技
688716,中研股份
688717,艾罗能源
688718,唯赛勃
688719,爱科赛博
688720,艾森股份
688721,龙图光罩
688722,同益中
688726,拉普拉斯
688728,格科微
688733,壹石通
688737,中自科技
688739,成大生物
688750,金天钛业
688758,赛分科技
688766,普冉股份
688767,博拓生物
688768,容知日新
688772,珠海冠宇
688776,国光电气
688777,中控技术
688778,厦钨新能
688779,五矿新能
688786,悦安新材
688787,海天瑞声
688788,科思科技
688789,宏华数科
688793,倍轻松
688798,艾为电子
688799,华纳药厂
688800,瑞可达
688819,天能股份
688981,中芯国际
689009,九号公司

